"Детские сады / Ясли"#"Детский сад №307, Колокольчик"#"Гвардейская, 10"#"61.37222182939 55.144250919395"
"Детские сады / Ясли"#"Детский сад №412, Веселые человечки, художественно-эстетического направления развития"#"Комсомольский проспект, 74а"#"61.313854308771 55.195702485666"
"Детские сады / Ясли"#"Детский сад №35"#"Университетская Набережная, 90"#"61.300786079486 55.16141659274"
"Детские сады / Ясли"#"Детский сад №18"#"Скульптора Головницкого, 18"#"61.280722421472 55.207969056096"
"Детские сады / Ясли"#"Какаду, детский сад"#"Академика Макеева, 7а"#"61.297673725929 55.165906848573"
"Детские сады / Ясли"#"Детский сад №481, комбинированного вида"#"250 лет Челябинску, 30а"#"61.291781367901 55.177033068114"
"Детские сады / Ясли"#"Детский сад №23, Кенгу.ru"#"250 лет Челябинску, 65"#"61.287839254181 55.16570602286"
"Детские сады / Ясли"#"Рыжики, детский сад"#"Российская, 222а"#"61.416822961106 55.154860243142"
"Детские сады / Ясли"#"Детский сад №435, центр развития ребенка"#"Братьев Кашириных, 107а"#"61.335789253957 55.177336447802"
"Детские сады / Ясли"#"Детский сад №454, Антошка, центр развития ребенка"#"Университетская Набережная, 24а"#"61.36060097495 55.177101806385"
"Детские сады / Ясли"#"Детский сад №234, комбинированного вида"#"Островского, 27Б"#"61.382056728811 55.186502592307"
"Детские сады / Ясли"#"Детский сад №17, Семицветик, для детей с нарушениями опорно-двигательного аппарата"#"40 лет Победы, 31а"#"61.30447971307 55.183937903692"
"Детские сады / Ясли"#"Детский сад №52, интеллектуального направления развития"#"Красная, 44"#"61.39211650938 55.156596681522"
"Детские сады / Ясли"#"Детский сад №480, Алые паруса, комбинированного вида"#"Чичерина, 4Б"#"61.279695083167 55.188282226422"
"Детские сады / Ясли"#"Детский сад №30, Фламинго"#"Зальцмана, 24"#"61.524693714369 55.16857033942"
"Детские сады / Ясли"#"Детский сад №350, центр развития ребенка"#"Победы проспект, 306а"#"61.343979625259 55.190669870053"
"Детские сады / Ясли"#"Детский сад №152, Терем"#"Овчинникова, 8а/1"#"61.407589358649 55.144515151802"
"Детские сады / Ясли"#"Детский сад №459, Березка, комбинированного вида"#"Чичерина, 15а"#"61.292151550759 55.186027844399"
"Детские сады / Ясли"#"Детский сад №378, Цветик-семицветик, центр развития ребенка"#"Комсомольский проспект, 105а"#"61.292844804682 55.187996801881"
"Детские сады / Ясли"#"Детский сад №455, комбинированного вида"#"Чайковского, 185а"#"61.355895118294 55.176707656233"
"Детские сады / Ясли"#"Детский сад №125, центр развития ребенка"#"Копейское шоссе, 47а"#"61.448353664304 55.142132284051"
"Детские сады / Ясли"#"Детский сад №426, Солнечная поляна, центр развития ребенка"#"Комсомольский проспект, 80а"#"61.307880186069 55.195689907509"
"Детские сады / Ясли"#"Детский сад №339, центр развития ребенка"#"Елькина, 86Б"#"61.395688919342 55.152395448406"
"Детские сады / Ясли"#"Детский сад №438, комбинированного вида"#"Энгельса, 38а"#"61.379186926169 55.155626742817"
"Детские сады / Ясли"#"Детский сад №473, центр развития ребенка"#"40 лет Победы, 10а"#"61.289021311779 55.190606221862"
